Date,Open,High,Low,Close,Adj Close,Volume
2020-07-24,21.879999,22.450001,21.530001,22.150000,22.150000,22471800
2020-07-27,22.340000,22.850000,22.204000,22.840000,22.840000,21434900
2020-07-28,22.660000,22.990000,22.415001,22.590000,22.590000,15210800
2020-07-29,22.850000,23.004999,22.620001,22.900000,22.900000,13132400
2020-07-30,22.700001,22.900000,22.350000,22.410000,22.410000,17607600
2020-07-31,22.830000,23.959999,22.049999,22.420000,22.420000,51491900
2020-08-03,21.889999,21.889999,20.610001,21.219999,21.219999,56421600
2020-08-04,21.190001,22.270000,21.180000,21.760000,21.760000,25185200
2020-08-05,21.780001,22.135000,21.510000,21.700001,21.700001,17242500
2020-08-06,21.799999,21.900000,21.129999,21.350000,21.350000,28055800
2020-08-07,21.360001,22.200001,21.280001,21.580000,21.580000,30708500
2020-08-10,21.700001,22.290001,21.209999,22.020000,22.020000,21486200
2020-08-11,21.830000,22.500000,21.549999,21.600000,21.600000,16382900
2020-08-12,21.840000,22.290001,21.709999,21.860001,21.860001,13417700
2020-08-13,22.000000,22.330000,21.629999,21.900000,21.900000,12412700
2020-08-14,21.900000,22.048000,21.459999,21.690001,21.690001,9311700
2020-08-17,21.830000,21.980000,21.260000,21.790001,21.790001,16250400
2020-08-18,21.940001,22.125000,21.580000,21.770000,21.770000,13052700
2020-08-19,21.709999,22.434999,21.542000,21.920000,21.920000,17048500
2020-08-20,21.760000,21.969999,21.575001,21.830000,21.830000,8692900
2020-08-21,21.900000,21.992001,21.549999,21.600000,21.600000,10525400
2020-08-24,21.760000,21.760000,20.770000,20.870001,20.870001,22641800
2020-08-25,20.900000,21.190001,20.680000,21.120001,21.120001,18686400
2020-08-26,21.150000,21.410000,21.010000,21.360001,21.360001,12894700
2020-08-27,21.500000,22.200001,20.870001,21.740000,21.740000,23754100
2020-08-28,21.790001,22.350000,21.400000,22.309999,22.309999,22068900
2020-08-31,22.830000,23.190001,22.292000,22.590000,22.590000,21587700
2020-09-01,22.760000,22.760000,21.799999,22.410000,22.410000,25069500
2020-09-02,22.520000,23.559999,22.389999,23.530001,23.530001,40138900
2020-09-03,23.250000,23.410000,22.420000,23.200001,23.200001,30099700
2020-09-04,22.900000,23.580000,21.434999,22.440001,22.440001,23886400
2020-09-08,21.700001,23.084999,21.530001,22.690001,22.690001,19532400
2020-09-09,23.080000,24.020000,22.875000,23.650000,23.650000,26486900
2020-09-10,24.170000,24.375000,23.035000,23.309999,23.309999,20539100
2020-09-11,23.730000,24.417999,23.705000,24.190001,24.190001,37826000
2020-09-14,23.590000,24.160000,23.209999,24.129999,24.129999,24503200
2020-09-15,24.490000,24.879999,23.969999,24.469999,24.469999,25063200
2020-09-16,24.490000,25.219999,24.420000,24.860001,24.860001,26930000
2020-09-17,24.230000,24.665001,23.930000,24.299999,24.299999,21249200
2020-09-18,24.750000,24.750000,23.200001,23.820000,23.820000,23854100
2020-09-21,23.110001,24.299999,23.062000,23.879999,23.879999,16678200
2020-09-22,24.100000,25.490000,24.090000,25.469999,25.469999,32627300
2020-09-23,25.670000,25.930000,24.920000,25.370001,25.370001,22750700
2020-09-24,24.850000,24.950001,24.020000,24.320000,24.320000,19425800
2020-09-25,24.400000,24.730000,24.129000,24.690001,24.690001,11036600
2020-09-28,25.350000,25.840000,25.209999,25.740000,25.740000,19124400
2020-09-29,25.830000,26.360001,25.770000,25.990000,25.990000,15891200
2020-09-30,25.870001,26.469999,25.820000,26.110001,26.110001,13109300
2020-10-01,26.280001,27.020000,26.190001,26.780001,26.780001,17177400
2020-10-02,26.230000,26.988001,26.129999,26.639999,26.639999,14950600
2020-10-05,26.950001,27.639999,26.910000,27.540001,27.540001,14193500
2020-10-06,27.500000,27.790001,26.510000,26.730000,26.730000,14543900
2020-10-07,27.100000,27.129999,26.620001,26.670000,26.670000,8622900
2020-10-08,27.000000,27.135000,26.809999,27.049999,27.049999,9753100
2020-10-09,27.160000,27.469999,26.895000,27.000000,27.000000,10984700
2020-10-12,27.360001,27.670000,26.945000,26.959999,26.959999,11117800
2020-10-13,27.270000,27.379999,26.910000,27.000000,27.000000,11849000
2020-10-14,27.219999,27.440001,26.684999,27.320000,27.320000,13556700
2020-10-15,27.049999,28.100000,26.879999,28.059999,28.059999,18957000
2020-10-16,28.500000,28.555000,27.520000,27.830000,27.830000,21636200
2020-10-19,28.250000,29.080000,28.250000,28.660000,28.660000,31479300
2020-10-20,28.280001,28.950001,27.905001,28.450001,28.450001,47067900
2020-10-21,34.970001,38.889999,34.520000,36.500000,36.500000,254363100
2020-10-22,36.939999,39.189999,36.860001,38.970001,38.970001,124632400
2020-10-23,39.430000,43.189999,39.169998,43.169998,43.169998,206472900
2020-10-26,43.189999,44.180000,40.910000,41.270000,41.270000,138808600
2020-10-27,41.549999,42.340000,40.799999,41.540001,41.540001,63646900
2020-10-28,40.310001,43.400002,40.119999,42.860001,42.860001,78827800
2020-10-29,43.299999,43.599998,41.509998,42.220001,42.220001,38288000
2020-10-30,42.060001,42.119999,38.790001,39.389999,39.389999,52760300
2020-11-02,39.529999,40.953999,38.669998,40.790001,40.790001,37493800
2020-11-03,40.700001,41.689999,40.349998,41.169998,41.169998,22719800
2020-11-04,41.560001,42.540001,41.060001,41.990002,41.990002,23314800
2020-11-05,42.290001,42.529999,41.220001,41.549999,41.549999,25087400
2020-11-06,41.680000,45.599998,41.139999,45.380001,45.380001,45874600
2020-11-09,43.200001,44.529999,41.090000,41.099998,41.099998,35135800
2020-11-10,40.669998,40.680000,37.349998,38.540001,38.540001,42098200
2020-11-11,39.590000,40.147999,38.340000,38.459999,38.459999,31819400
2020-11-12,39.520000,41.799000,39.150002,40.299999,40.299999,36495700
2020-11-13,40.450001,40.959999,39.240002,40.430000,40.430000,18598500
2020-11-16,39.029999,41.310001,38.700001,39.080002,39.080002,27157200
2020-11-17,39.009998,39.764999,38.509998,39.270000,39.270000,25704900
2020-11-18,39.310001,40.980000,39.189999,40.630001,40.630001,18370800
2020-11-19,40.599998,42.419998,39.959999,42.290001,42.290001,28472700
2020-11-20,42.619999,44.320000,42.220001,44.290001,44.290001,28635800
2020-11-23,47.099998,47.270000,45.110001,45.259998,45.259998,37072500
2020-11-24,45.599998,45.689999,43.362000,44.290001,44.290001,24445700
2020-11-25,44.119999,45.689999,43.700001,45.560001,45.560001,17817600
2020-11-27,45.820000,46.340000,45.169998,46.029999,46.029999,7690700
2020-11-30,46.020000,46.250000,43.259998,44.419998,44.419998,18893300
2020-12-01,44.900002,45.200001,43.380001,44.500000,44.500000,17089800
2020-12-02,44.430000,47.500000,43.529999,47.490002,47.490002,24355700
2020-12-03,47.049999,48.599998,46.222000,47.950001,47.950001,21367600
2020-12-04,47.990002,48.599998,47.400002,48.099998,48.099998,13089400
2020-12-07,48.000000,49.650002,47.799999,49.450001,49.450001,18760000
2020-12-08,49.330002,50.430000,49.180000,50.000000,50.000000,12446500
2020-12-09,50.000000,50.977001,48.459999,49.150002,49.150002,18354700
2020-12-10,48.849998,53.264999,48.599998,53.150002,53.150002,31519700
2020-12-11,52.880001,53.849998,51.880001,53.330002,53.330002,26837700
2020-12-14,53.680000,53.730000,51.278000,51.599998,51.599998,18931200
2020-12-15,51.790001,52.654999,51.130001,51.349998,51.349998,14553300
2020-12-16,52.110001,52.520000,50.290001,51.650002,51.650002,27167700
2020-12-17,52.560001,54.709999,51.900002,53.250000,53.250000,25356100
2020-12-18,53.560001,54.290001,52.419998,52.990002,52.990002,24450200
2020-12-21,52.380001,53.240002,51.860001,52.360001,52.360001,10785200
2020-12-22,52.590000,53.305000,50.799999,52.090000,52.090000,16249400
2020-12-23,52.139999,53.790001,51.500000,51.740002,51.740002,12929300
2020-12-24,51.919998,51.980000,49.880001,50.150002,50.150002,9450400
2020-12-28,50.770000,50.830002,47.820000,48.259998,48.259998,13711200
2020-12-29,51.480000,53.779999,50.459999,51.230000,51.230000,49966100
2020-12-30,51.369999,51.830002,49.320000,49.349998,49.349998,17746200
2020-12-31,49.500000,50.450001,49.029999,50.070000,50.070000,15597000
2021-01-04,50.439999,50.700001,48.098999,49.590000,49.590000,18844900
2021-01-05,49.349998,50.639999,49.259998,50.310001,50.310001,8863400
2021-01-06,49.110001,51.080002,48.470001,49.820000,49.820000,15054100
2021-01-07,50.349998,53.820000,50.349998,52.439999,52.439999,20559800
2021-01-08,53.430000,53.680000,52.180000,52.730000,52.730000,11944200
2021-01-11,51.860001,55.790001,51.090000,54.380001,54.380001,17816000
2021-01-12,55.220001,56.650002,54.250000,56.450001,56.450001,19234800
2021-01-13,56.750000,57.389999,53.430000,53.430000,53.430000,14848200
2021-01-14,53.299999,54.435001,48.709999,49.029999,49.029999,31962700
2021-01-15,50.700001,51.070000,49.049999,50.310001,50.310001,22625700
2021-01-19,51.340000,51.490002,49.119999,50.389999,50.389999,21063900
2021-01-20,50.610001,52.230000,49.950001,52.200001,52.200001,15595100
2021-01-21,53.959999,54.848000,53.009998,54.400002,54.400002,19747400
2021-01-22,53.900002,54.430000,53.150002,53.570000,53.570000,16258700
2021-01-25,54.897999,55.340000,50.910000,53.650002,53.650002,14822800
2021-01-26,54.119999,54.439999,52.400002,53.290001,53.290001,13340000
2021-01-27,51.759998,52.150002,48.139999,48.950001,48.950001,24099100
2021-01-28,50.810001,54.779999,50.279999,53.130001,53.130001,25526700
2021-01-29,52.599998,53.310001,50.759998,52.939999,52.939999,15104800
2021-02-01,54.000000,56.910000,52.900002,56.849998,56.849998,21208800
2021-02-02,57.349998,59.410000,56.950001,58.869999,58.869999,18725900
2021-02-03,60.349998,60.520000,57.900002,59.259998,59.259998,22390900
2021-02-04,60.130001,60.330002,58.310001,58.310001,58.310001,32019200
